,Tên phim,Năm sản xuất,Thời gian xem,Đánh giá
110,Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,(2004),108 min,8.3
111,Le fabuleux destin d'Amélie Poulain,(2001),122 min,8.3
112,Nguyện Cầu Cho Một Giấc Mơ,(2000),102 min,8.3
113,Chàng Will Tốt Bụng,(1997),126 min,8.3
114,Câu Chuyện Đồ Chơi,(1995),81 min,8.3
115,Kỳ Phùng Địch Thủ,(1995),170 min,8.3
116,Những Kẻ Phản Bội,(1992),99 min,8.3
117,Áo Giắp Sắt,(1987),116 min,8.3
118,Nước Mỹ Một Thời,(1984),229 min,8.3
119,Ông Trùm Mặt Sẹo,(1983),170 min,8.3
120,Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,(1983),131 min,8.3
121,The Sting,(1973),129 min,8.3
122,Cỗ Máy Tội Phạm,(1971),136 min,8.3
123,2001: Chuyến Du Hành Không Gian,(1968),149 min,8.3
124,Giết Con Chim Nhại,(1962),129 min,8.3
125,Lawrence Xứ Ả Rập,(1962),218 min,8.3
126,Tòa Án Chiến Tranh,(1961),179 min,8.3
127,Căn Hộ Tình Yêu,(1960),125 min,8.3
128,Bắc Tây Bắc,(1959),136 min,8.3
129,Vertigo,(1958),128 min,8.3
130,Pather Panchali,(1955),125 min,8.3
131,Singin' in the Rain,(1952),103 min,8.3
132,Ikiru,(1952),143 min,8.3
133,Kẻ Trộm Xe Đạp,(1948),89 min,8.3
134,Double Indemnity,(1944),107 min,8.3
135,Công Dân Kane,(1941),119 min,8.3
136,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3
137,Thành Phố Trung Tâm,(1927),153 min,8.3
138,Đứa Trẻ,(1921),68 min,8.3
139,Chhichhore,(2019),143 min,8.2
140,Thế Chiến 1917,(2019),119 min,8.2
141,Uri: The Surgical Strike,(2019),138 min,8.2
142,Tumbbad,(2018),104 min,8.2
143,Andhadhun,(2018),139 min,8.2
144,K.G.F: Chapter 1,(2018),156 min,8.2
145,Cẩm Nang Xanh,(2018),130 min,8.2
146,Baahubali 2: The Conclusion,(2017),167 min,8.2
147,Drishyam,(2015),163 min,8.2
148,Bhaag Milkha Bhaag,(2013),186 min,8.2
149,Những Mảnh Ghép Cảm Xúc,(I) (2015),95 min,8.2
150,Gangs of Wasseypur,(2012),321 min,8.2
151,Paan Singh Tomar,(2012),135 min,8.2
152,Sông Chi Môt Lân,(2011),155 min,8.2
153,Bí Mật Sau Ánh Mắt,(2009),129 min,8.2
154,Chiến Binh Quyền Anh,(2011),140 min,8.2
155,Đảo Kinh Hoàng,(2010),138 min,8.2
156,Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,(2020),117 min,8.2
157,Miracle in Cell No. 7,(2019),132 min,8.2
158,The Father,(I) (2020),97 min,8.2
159,Sói Già Phố Wall,(2013),180 min,8.2
160,Không Chốn Dung Thân,(2007),122 min,8.2
161,Cha Và Con Của Tôi,(2005),112 min,8.2
162,Máu Sẽ Phải Đổ,(2007),158 min,8.2
163,Mê Cung Của Pan,(2006),118 min,8.2
164,Chiến Binh Tự Do,(2005),132 min,8.2
165,Người Dơi Xuất Hiện,(2005),140 min,8.2
166,"Swades: We, the People",(2004),210 min,8.2
167,Ngày Tàn Của Hitler,(2004),156 min,8.2
168,Lâu Đài Di Động Của Howl,(2004),119 min,8.2
169,Một Tâm Hồn Đẹp,(2001),135 min,8.2
170,Cô Dâu Báo Thù 1,(2003),111 min,8.2
171,Đi Tìm Nemo,(2003),100 min,8.2
172,Tên Trộm Nữ Trang,(2000),104 min,8.2
173,Giác Quan Thứ Sáu,(1999),107 min,8.2
174,Băng Đảng Người Anh,(1998),107 min,8.2
175,Buổi Diễn Của Truman,(1998),103 min,8.2
176,Bí Mật Los Angeles,(1997),138 min,8.2
177,Những Đứa Trẻ Thiên Đường,(1997),89 min,8.2
178,Sòng Bạc,(1995),178 min,8.2
179,Công Viên Kỷ Jura,(1993),127 min,8.2
180,Không Thể Tha Thứ,(1992),130 min,8.2
181,Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,(1989),127 min,8.2
182,Đương Đầu Với Thử Thách,(1988),132 min,8.2
183,Lãnh Chúa Hidetora,(1985),162 min,8.2
184,Quái Vật Biến Hình,(1982),109 min,8.2
185,Bò Đực Nổi Điên,(1980),129 min,8.2
186,Người Voi,(1980),124 min,8.2
187,Tài Xế Taxi,(1976),114 min,8.2
188,Chén Thánh Phiêu Lưu Ký,(1975),91 min,8.2
189,Dersu Uzala,(1975),142 min,8.2
190,Phố Tàu,(1974),130 min,8.2
191,Z,(1969),127 min,8.2
192,Per qualche dollaro in più,(1965),132 min,8.2
193,Cuộc Đào Thoát Vĩ Đại,(1963),172 min,8.2
194,Yôjinbô,(1961),110 min,8.2
195,Some Like It Hot,(1959),121 min,8.2
196,Cầu Sông Kwai,(1957),161 min,8.2
197,Cuộc Gọi Chết Người,(1954),105 min,8.2
198,Câu Chuyện Tokyo,(1953),136 min,8.2
199,Le salaire de la peur,(1953),131 min,8.2
200,Umberto D.,(1952),89 min,8.2
201,Lã Sinh Môn,(1950),88 min,8.2
202,All About Eve,(1950),138 min,8.2
203,Kho Báu Ở Sierra Madre,(1948),126 min,8.2
204,To Be or Not to Be,(1942),99 min,8.2
205,Cuốn Theo Chiều Gió,(1939),238 min,8.2
206,Bài Ca Khổ Hình Của Joan of Arc,(1928),110 min,8.2
207,The General,(1926),67 min,8.2
208,Cuộc Săn Vàng,(1925),95 min,8.2
209,Sherlock Jr.,(1924),45 min,8.2
210,Bức Chân Dung Bị Thiêu Cháy,(2019),122 min,8.1
211,Cuộc Chiến Đa Vũ Trụ,(2022),139 min,8.1
212,Pink,(III) (2016),136 min,8.1
213,Dáng Hình Thanh Âm,(2016),130 min,8.1
214,Three Billboards: Truy Tìm Công Lý,(2017),115 min,8.1
215,Talvar,(2015),132 min,8.1
216,Klaus - Câu Chuyện Giáng Sinh,(2019),96 min,8.1
217,Masaan,(2015),109 min,8.1
218,Người Hầu Gái,(2016),145 min,8.1
219,Bajrangi Bhaijaan,(2015),163 min,8.1
220,Nu Hoang An Do,(2013),146 min,8.1
221,Logan: Người Sói,(2017),137 min,8.1
